date,store,product,sales
2021-01-01,Store_A,Product_X,236
2021-01-01,Store_A,Product_Y,105
2021-01-01,Store_A,Product_Z,352
2021-01-01,Store_B,Product_X,60
2021-01-01,Store_B,Product_Y,336
2021-01-01,Store_B,Product_Z,314
2021-01-01,Store_C,Product_X,474
2021-01-01,Store_C,Product_Y,312
2021-01-01,Store_C,Product_Z,434
2021-01-02,Store_A,Product_X,423
2021-01-02,Store_A,Product_Y,383
2021-01-02,Store_A,Product_Z,138
2021-01-02,Store_B,Product_X,335
2021-01-02,Store_B,Product_Y,487
2021-01-02,Store_B,Product_Z,203
2021-01-02,Store_C,Product_X,209
2021-01-02,Store_C,Product_Y,326
2021-01-02,Store_C,Product_Z,256
2021-01-03,Store_A,Product_X,317
2021-01-03,Store_A,Product_Y,174
2021-01-03,Store_A,Product_Z,174
2021-01-03,Store_B,Product_X,490
2021-01-03,Store_B,Product_Y,112
2021-01-03,Store_B,Product_Z,439
2021-01-03,Store_C,Product_X,211
2021-01-03,Store_C,Product_Y,154
2021-01-03,Store_C,Product_Z,192
2021-01-04,Store_A,Product_X,218
2021-01-04,Store_A,Product_Y,312
2021-01-04,Store_A,Product_Z,498
2021-01-04,Store_B,Product_X,151
2021-01-04,Store_B,Product_Y,311
2021-01-04,Store_B,Product_Z,82
2021-01-04,Store_C,Product_X,340
2021-01-04,Store_C,Product_Y,171
2021-01-04,Store_C,Product_Z,398
2021-01-05,Store_A,Product_X,213
2021-01-05,Store_A,Product_Y,217
2021-01-05,Store_A,Product_Z,405
2021-01-05,Store_B,Product_X,329
2021-01-05,Store_B,Product_Y,186
2021-01-05,Store_B,Product_Z,275
2021-01-05,Store_C,Product_X,218
2021-01-05,Store_C,Product_Y,465
2021-01-05,Store_C,Product_Z,113
2021-01-06,Store_A,Product_X,240
2021-01-06,Store_A,Product_Y,423
2021-01-06,Store_A,Product_Z,256
2021-01-06,Store_B,Product_X,439
2021-01-06,Store_B,Product_Y,260
2021-01-06,Store_B,Product_Z,251
2021-01-06,Store_C,Product_X,277
2021-01-06,Store_C,Product_Y,366
2021-01-06,Store_C,Product_Z,75
2021-01-07,Store_A,Product_X,333
